area_type,availability,BHK,society,total_sqft,bath,balcony,price,site_location
Plot  Area,1,3,Bancyri,1800,3,2,252,Paud Road
Super built-up  Area,0,2,PualeSk,1346,2,1,74.03,Pirangut
Super built-up  Area,1,2,ElavuHo,1150,2,2,55,Pune Railway Station
Built-up  Area,1,4,Gontyol,3309,4,3,325,Rasta Peth
Super built-up  Area,0,3,SunceEs,1190,2,2,30.35,Raviwar Peth
Super built-up  Area,1,3,DSutyng,1620,3,2,98,Sadashiv Peth
Super built-up  Area,0,2,0,950,2,1,46.96,Sahakar Nagar
Super built-up  Area,1,3,SrEndPo,2450,3,0,120,Sasson Road
Super built-up  Area,0,3,Sryalan,1220,2,1,35.23,Satara Road
Super built-up  Area,1,2,RKntsrt,850,2,1,30,Senapati Bapat Road
Built-up  Area,1,2,0,1020,2,2,63,Shaniwar Peth
Built-up  Area,1,2,0,1100,2,2,50,Shivaji Nagar
Super built-up  Area,1,2,Vantspa,1150,2,2,126,Shukrawar Peth
Super built-up  Area,0,3,Mahosya,1760,2,2,130,Sinhagad Road
Super built-up  Area,1,3,0,1800,3,3,110,Somwar Peth
Super built-up  Area,1,2,0,1070,2,1,54,Swargate
Plot  Area,1,4,0,1500,4,2,220,Tilak Road
Plot  Area,1,2,0,1440,2,0,95,Uruli Devachi
Super built-up  Area,1,2,Prowsi ,900,2,1,40,Vadgaon Budruk
Super built-up  Area,0,2,SMuilan,1130,2,1,42.16,Viman Nagar
Super built-up  Area,1,2,Proodt ,1320,2,1,165,Vishrant Wadi
Super built-up  Area,0,2,0,1270,2,1,98,Wagholi
Built-up  Area,1,2,Sryamar,1200,2,1,62,Wakadewadi
Super built-up  Area,1,4,0,4800,4,0,235,Wanowrie
Super built-up  Area,1,2,0,1200,2,1,74,Warje
Super built-up  Area,1,2,Prldsri,929,2,0,50.17,Yerawada
Super built-up  Area,1,3,0,1464,3,2,56,Aundh Road
Super built-up  Area,1,4,0,3600,4,3,400,Balaji Nagar
Plot  Area,1,4,0,2000,4,2,99,Baner
Super built-up  Area,1,2,0,1208,2,1,49,Baner road
Super built-up  Area,1,2,Vrensn ,1130,2,2,60,Bhandarkar Road
Super built-up  Area,1,3,VDdonel,1753,3,2,120,Bhavani Peth
Super built-up  Area,1,5,Brica E,4500,7,3,337,Bibvewadi
Super built-up  Area,0,2,GoAirej,1196,2,2,94.42,Budhwar Peth
Built-up  Area,1,2,Prenty ,1150,3,3,52.5,Bund Garden Road
Super built-up  Area,0,2,Prarkun,1128,2,1,63,Camp
Super built-up  Area,1,2,Shinei ,1000,2,1,53,Chandan Nagar
Super built-up  Area,1,2,Apows M,1035,2,1,45,Dapodi
Built-up  Area,1,2,0,950,2,1,32,Deccan Gymkhana
Super built-up  Area,1,3,Prityel,1075,2,1,36,Dehu Road
Super built-up  Area,1,2,SVineun,1040,2,1,48.5,Dhankawadi
Plot  Area,0,2,0,720,2,1,45,Dhayari Phata
Super built-up  Area,1,3,Soiewre,1511,3,1,95,Dhole Patil Road
Built-up  Area,1,3,0,1300,3,1,58,Erandwane
Super built-up  Area,0,3,Caycend,1545,3,1,68.75,Fatima Nagar
Super built-up  Area,1,2,0,1062,2,3,38,Ganesh Peth
Super built-up  Area,1,2,0,1115,2,1,40,Ganeshkhind
Super built-up  Area,1,2,DSvvyx ,1000,2,1,35,Ghorpade Peth
Super built-up  Area,0,2,Prrtht ,883,2,1,45,Ghorpadi
Super built-up  Area,0,2,Brareio,1195,2,1,70,Gokhale Nagar
Built-up  Area,1,1,0,700,1,0,41,Guruwar peth
Super built-up  Area,1,2,Prlla C,1246,2,1,67,Hadapsar
Super built-up  Area,1,4,0,1600,4,1,80,Jangali Maharaj Road
Super built-up  Area,0,4,SNnia E,2805,5,3,154,Kalyani Nagar
Super built-up  Area,1,3,0,1584,3,0,65,Karve Nagar
Plot  Area,1,4,0,3000,5,1,275,Karve Road
Built-up  Area,1,3,0,1175,2,2,48,Kasba Peth
Built-up  Area,0,3,0,1595,3,2,115,Katraj
Super built-up  Area,1,2,OlarkLa,1353,2,2,110,Khadaki
Super built-up  Area,0,3,Prarkun,1599,3,2,125,Khadki
Super built-up  Area,1,2,SuMTBPr,1150,2,1,70,Kharadi
Super built-up  Area,0,4,Lecco C,5230,6,1,465,Kondhwa
Super built-up  Area,1,2,Jahidva,1155,2,2,42.74,Kondhwa Budruk
Built-up  Area,1,1,0,1200,2,0,85,Kondhwa Khurd
Super built-up  Area,0,2,0,1000,2,1,25,Koregaon Park
Super built-up  Area,1,4,0,3000,4,0,120,Kothrud
Built-up  Area,1,3,PuoodSk,1867,3,1,160,Law College Road
Super built-up  Area,0,2,ViistLa,1251,2,1,47,Laxmi Road
Super built-up  Area,0,2,Arano M,1028,2,1,45.5,Lulla Nagar
Super built-up  Area,1,2,Amngsag,1222,2,2,45,Mahatma Gandhi Road
Super built-up  Area,1,3,SNity S,1170,2,1,66,Mangalwar peth
Super built-up  Area,1,3,Kacesh ,2400,4,1,245,Manik Bagh
Super built-up  Area,1,3,0,1385,2,2,48.48,Market yard
Super built-up  Area,1,2,SrisePo,1372,2,1,68,Model colony
Super built-up  Area,1,3,Bilya A,1282,2,2,49,Mukund Nagar
Super built-up  Area,1,9,Amsomun,5000,9,3,210,Mundhawa
Built-up  Area,1,5,0,3000,3,1,528,Nagar Road
Super built-up  Area,1,2,Shdhia ,1135,2,1,39.73,Nana Peth
Built-up  Area,0,3,0,1768,3,2,101,Narayan Peth
Built-up  Area,1,3,Foconna,1325,2,1,90,Narayangaon
Super built-up  Area,0,3,Prarkun,1599,3,2,99,Navi Peth
Plot  Area,0,3,0,1500,3,1,61.95,Padmavati
Plot  Area,1,3,0,2610,3,0,499,Parvati Darshan
Super built-up  Area,1,2,0,1286,2,2,63,Pashan
Built-up  Area,1,5,0,2845,5,1,140,Paud Road
Super built-up  Area,1,3,Aincy R,1600,2,0,50,Pirangut
Super built-up  Area,1,3,Brium C,3450,5,2,260,Pune Railway Station
Super built-up  Area,0,2,Sadhii ,1102,2,2,53.67,Rasta Peth
Super built-up  Area,1,2,Sahanra,1350,2,2,54,Raviwar Peth
Super built-up  Area,1,3,0,1200,2,2,42,Sadashiv Peth
Plot  Area,1,2,0,1800,1,1,80,Salunke Vihar
Built-up  Area,1,2,0,950,2,1,40,Sasson Road
Super built-up  Area,0,1,PrarePa,525,1,1,27.25,Satara Road
Built-up  Area,1,2,Jae 2hu,656,2,1,25,Senapati Bapat Road
Plot  Area,1,4,0,1780,4,3,175,Shaniwar Peth
Super built-up  Area,1,2,Icncy R,1056,2,1,80,Shivaji Nagar
Super built-up  Area,0,1,Hiatei ,595,1,1,33.32,Shukrawar Peth
Built-up  Area,1,2,0,1080,2,2,50,Sinhagad Road
Super built-up  Area,0,3,Puarero,2225,3,1,160,Somwar Peth
Super built-up  Area,0,2,DSoodil,1126,2,1,28.15,Swargate
Super built-up  Area,1,3,GaicaVe,1490,3,1,84,Tilak Road
Plot  Area,1,4,0,2000,4,1,300,Uruli Devachi
Super built-up  Area,1,3,PuineSu,1550,3,3,100,Vadgaon Budruk
Super built-up  Area,1,3,Grare S,1600,3,2,86,Wadgaon Sheri
Built-up  Area,1,2,0,1160,2,1,55,Viman Nagar
Built-up  Area,1,4,PrOakSi,4144,4,3,315,Vishrant Wadi
Super built-up  Area,1,3,Supleon,2100,3,2,125,Wagholi
Super built-up  Area,1,2,Prlla C,1404,2,1,69.3,Wakadewadi
Plot  Area,1,4,LGestbo,2230,4,3,225,Wanowrie
Super built-up  Area,1,3,0,1544,3,0,120,Warje
Super built-up  Area,0,3,Pridsi ,1305,2,1,58.7,Yerawada
Super built-up  Area,1,2,Aahts H,1230,2,2,80,Alandi Road
Plot  Area,1,2,0,1200,2,0,65,Ambegaon Budruk
Super built-up  Area,1,3,0,1460,3,1,73,Anandnagar
Built-up  Area,1,2,0,967,2,3,45,Aundh Road
Built-up  Area,1,1,0,540,1,1,36,Balaji Nagar
Super built-up  Area,0,1,Kolisl ,715,1,2,46,Baner
Super built-up  Area,1,3,Toindls,2500,3,2,313,Baner road
Super built-up  Area,1,3,Puceswn,1578,3,1,180,Bhandarkar Road
Super built-up  Area,1,2,0,1020,2,1,48.95,Bhavani Peth
Super built-up  Area,1,2,i1odsne,1020,2,1,40,Bibvewadi
Super built-up  Area,1,2,Ansna K,1253,2,1,102,Bopodi
Super built-up  Area,1,2,ARnamru,1180,2,2,42,Budhwar Peth
Super built-up  Area,1,2,Veyalin,961,2,2,38,Bund Garden Road
Built-up  Area,1,3,0,1419,3,3,75,Camp
Super built-up  Area,1,3,SomonCi,1709,3,2,150,Chandan Nagar
Plot  Area,1,2,0,1600,2,0,115,Dapodi
Carpet  Area,1,2,0,1100,2,2,98,Dehu Road
Super built-up  Area,1,3,0,1430,2,1,65,Dhankawadi
Super built-up  Area,1,2,Daill S,1260,2,2,45,Dhayari Phata
Built-up  Area,1,3,DSureSi,1630,3,2,85,Dhole Patil Road
Super built-up  Area,0,3,Soini T,1249,3,2,44.71,Erandwane
Super built-up  Area,1,3,MancyRe,1450,2,3,85,Fatima Nagar
Super built-up  Area,0,3,Prasa W,2791,3,1,223,Fergusson College Road
Super built-up  Area,1,1,0,600,1,0,90,Ganesh Peth
Built-up  Area,1,1,Kaantth,834,1,1,60,Ganeshkhind
Plot  Area,1,3,0,1125,4,1,70,Ghorpade Peth
Super built-up  Area,1,3,0,2060,3,2,140,Ghorpadi
Built-up  Area,1,2,Drente ,891,2,1,25,Gultekdi
Super built-up  Area,1,2,GrrvaGr,1133,2,1,49.07,Guruwar peth
Built-up  Area,1,3,Prityel,1075,2,1,37,Hadapsar
Super built-up  Area,0,4,0,3000,5,2,260,Hadapsar Industrial Estate
Plot  Area,1,4,0,2440,5,2,425,Hingne Khurd
Built-up  Area,1,2,0,1200,2,2,55,Jangali Maharaj Road
Super built-up  Area,1,2,0,1075,2,2,45.8,Kalyani Nagar
Super built-up  Area,1,2,0,1140,2,2,40,Karve Nagar
Super built-up  Area,1,2,SGandea,1090,2,1,42,Katraj
Built-up  Area,1,4,0,1500,4,1,70,Khadaki
Super built-up  Area,1,4,0,4104,4,2,360,Khadki
Super built-up  Area,1,3,0,1790,3,0,100,Kharadi
Super built-up  Area,0,3,Mahosya,1920,3,2,134,Kondhwa
Built-up  Area,1,2,Eline P,1374,2,2,95,Kondhwa Budruk
Carpet  Area,1,3,0,1445,3,2,95,Kondhwa Khurd
Super built-up  Area,0,1,GoityEt,711,1,1,36,Koregaon Park
Super built-up  Area,1,3,SosonGa,1500,3,3,95,Kothrud
Super built-up  Area,1,3,Gotis A,1720,3,3,100,Law College Road
Super built-up  Area,1,3,0,1400,3,2,60,Laxmi Road
Built-up  Area,1,2,0,1030,2,2,49,Lulla Nagar
Super built-up  Area,1,2,PrntaEn,1200,2,1,85,Mahatma Gandhi Road
Carpet  Area,0,3,NSezeBr,1375,3,2,70,Mangalwar peth
Plot  Area,1,2,0,1050,1,0,56,Manik Bagh
Super built-up  Area,1,3,Tahtsla,2250,3,2,160,Market yard
Super built-up  Area,1,2,Sronda ,1000,2,2,50,Model colony
Super built-up  Area,1,1,Prntsax,469,1,0,25,Mukund Nagar
Super built-up  Area,1,4,PueraRi,3800,4,3,250,Mundhawa
Super built-up  Area,1,2,Prrtht ,883,2,1,29,Nagar Road
Super built-up  Area,1,3,Chnts A,1820,2,3,86,Nana Peth
Built-up  Area,1,3,0,1440,2,3,65,Narayan Peth
Super built-up  Area,1,6,0,3600,4,1,160,Narayangaon
Built-up  Area,1,4,GaityEt,2500,5,2,325,Navi Peth
Super built-up  Area,0,2,0,1225,2,2,48,Padmavati
Carpet  Area,1,2,0,875,2,3,52.8,Pashan
Super built-up  Area,1,1,ShshaSa,750,1,2,40,Paud Road
Super built-up  Area,1,2,0,1180,2,3,80,Pirangut
Super built-up  Area,1,2,0,1194,2,2,47,Prabhat Road
Super built-up  Area,1,3,0,1500,2,2,62,Pune Railway Station
Super built-up  Area,1,2,0,1160,2,2,52.2,Rasta Peth
Super built-up  Area,1,3,Taonte ,2378,3,1,262,Sadashiv Peth
Super built-up  Area,1,2,Ahownve,1128,2,1,60,Sahakar Nagar
Super built-up  Area,1,3,Cevely ,1500,3,1,150,Salunke Vihar
Built-up  Area,0,3,0,1220,2,1,35.23,Sasson Road
Super built-up  Area,1,2,0,1210,2,2,58,Satara Road
Super built-up  Area,0,3,PrarePa,1100,2,1,58,Senapati Bapat Road
Super built-up  Area,1,3,Vaodspe,1200,3,2,46,Shaniwar Peth
Built-up  Area,0,4,SNnia E,3385,5,0,260,Shivaji Nagar
Super built-up  Area,1,3,DSldsen,1641,3,2,66,Shukrawar Peth
Super built-up  Area,1,2,0,1200,2,1,45,Sinhagad Road
Super built-up  Area,1,2,NaonySy,1260,2,1,67.39,Somwar Peth
Super built-up  Area,1,3,0,1720,3,3,78,Swargate
Super built-up  Area,1,2,Pyikad ,1210,2,1,45.98,Uruli Devachi
Built-up  Area,1,4,0,2200,4,2,200,Vadgaon Budruk
Super built-up  Area,1,3,Prityel,1075,2,1,45,Wadgaon Sheri
Built-up  Area,1,3,Soitya ,1702,3,2,130,Viman Nagar
Super built-up  Area,1,2,Malex C,1630,2,2,200,Vishrant Wadi
Super built-up  Area,1,2,GrrvaGr,1141,2,2,38.55,Wagholi
Super built-up  Area,0,3,0,2072,3,2,108,Wakadewadi
Built-up  Area,1,3,0,1200,2,0,70,Warje
Super built-up  Area,1,3,0,1350,3,0,77,Yerawada
Super built-up  Area,0,3,0,1180,2,2,78.34,Ambegaon Budruk
Super built-up  Area,1,2,0,1355,2,2,115,Aundh
Plot  Area,1,1,0,600,1,0,50,Aundh Road
Super built-up  Area,1,3,0,1640,2,1,120,Baner
Super built-up  Area,1,3,0,1190,2,2,57,Bhandarkar Road
Plot  Area,1,4,0,2400,4,2,375,Bhavani Peth
Super built-up  Area,1,2,0,1019,2,2,49.85,Bibvewadi
Super built-up  Area,1,3,RMcesa ,1875,3,2,165,Bopodi
Super built-up  Area,0,3,0,1250,3,2,40,Budhwar Peth
Plot  Area,1,3,Krreera,1200,3,2,140,Bund Garden Road
Super built-up  Area,1,2,PaantPl,1140,2,1,56,Camp
Super built-up  Area,1,3,Soiewre,1683,3,1,109,Chandan Nagar
Super built-up  Area,1,3,Golmsoy,1515,3,0,83.3,Dapodi
Super built-up  Area,0,4,Caycend,2118,4,2,111,Deccan Gymkhana
Built-up  Area,1,4,0,1380,3,0,58,Dehu Road
Super built-up  Area,1,2,0,1083,2,2,61.75,Dhankawadi
Built-up  Area,1,3,Sohea A,2300,3,3,120,Dhole Patil Road
Super built-up  Area,1,2,MSvelek,1240,2,2,60,Erandwane
Super built-up  Area,1,3,VDdonel,1750,3,1,120,Fatima Nagar
Super built-up  Area,0,2,0,1230,2,0,43.48,Fergusson College Road
Plot  Area,0,3,0,1500,3,1,139,Ganesh Peth
Super built-up  Area,1,2,SLtias ,985,2,1,40.39,Ganeshkhind
Plot  Area,1,3,Hentye ,1500,2,1,87,Ghorpade Peth
Built-up  Area,0,2,0,1125,2,1,32.49,Ghorpadi
Built-up  Area,1,2,SMikaay,950,2,1,44,Gokhale Nagar
Super built-up  Area,1,3,0,1580,3,3,76,Guruwar peth
Plot  Area,1,3,0,1092,2,1,98.5,Hadapsar
Built-up  Area,0,2,Sryalan,1090,2,1,28.34,Hadapsar Industrial Estate
Built-up  Area,0,3,0,2264,3,1,159,Hingne Khurd
Super built-up  Area,0,3,0,1033,2,2,25.53,Jangali Maharaj Road
Super built-up  Area,0,2,Prony S,810,2,2,24.5,Kalyani Nagar
Super built-up  Area,1,2,PaisePa,1045,2,0,45,Karve Nagar
Super built-up  Area,0,2,Arcia S,1337,2,1,82,Karve Road
Super built-up  Area,1,2,0,1200,2,2,32,Kasba Peth
Super built-up  Area,1,3,TealeRo,1580,3,2,160,Katraj
Super built-up  Area,1,3,Dhalsh ,1500,2,3,54,Khadaki
Super built-up  Area,0,3,Umods W,1640,4,2,91,Khadki
Super built-up  Area,1,3,SSarlPe,1570,3,2,62,Kharadi
Super built-up  Area,1,3,MauilTr,1470,2,2,82,Kondhwa
Super built-up  Area,1,2,0,1160,2,2,40.61,Kondhwa Budruk
Built-up  Area,1,2,Brnia G,1050,2,1,71,Kondhwa Khurd
Super built-up  Area,0,3,Soeurri,1855,3,1,225,Koregaon Park
Super built-up  Area,1,3,SNity S,1460,2,1,90,Kothrud
Built-up  Area,1,3,0,1823,3,2,100,Law College Road
Super built-up  Area,1,2,Daives ,1094,2,2,42,Laxmi Road
Super built-up  Area,1,2,PrityTr,1153,2,2,57,Lulla Nagar
Built-up  Area,1,3,PNncysi,1325,3,1,57,Mahatma Gandhi Road
Built-up  Area,1,3,Socon Z,1590,2,2,125,Manik Bagh
Super built-up  Area,1,2,Krite D,1202,2,1,48,Mukund Nagar
Built-up  Area,1,2,0,1202,2,1,53,Mundhawa
Super built-up  Area,1,2,Srisei ,1200,2,3,62.5,Nagar Road
Super built-up  Area,0,3,Prcesvy,1688,3,1,118,Nana Peth
Built-up  Area,1,2,Soestrn,1020,2,1,52,Narayan Peth
Super built-up  Area,1,2,Coa 3t ,1185,2,2,47,Narayangaon
Super built-up  Area,0,2,ViistLa,1235,2,1,52.04,Navi Peth
Super built-up  Area,1,4,Taonte ,3205,5,1,500,Padmavati
Super built-up  Area,1,2,0,1077,2,2,37.64,Parvati Darshan
Super built-up  Area,1,3,MB-laan,1415,2,3,66,Pashan
Super built-up  Area,0,3,BrontLa,2330,3,2,162,Paud Road
Super built-up  Area,1,2,JahanSa,805,2,2,35,Pirangut
Super built-up  Area,1,2,DNlleks,1155,2,3,59.95,Pune Railway Station
Super built-up  Area,1,4,0,5270,4,3,1250,Rasta Peth
Super built-up  Area,1,2,0,656,2,1,22,Raviwar Peth
Built-up  Area,1,2,Alncy R,1100,2,0,48,Sadashiv Peth
Super built-up  Area,1,2,0,1150,2,3,52,Sahakar Nagar
Plot  Area,1,1,0,600,1,1,60,Salunke Vihar
Super built-up  Area,1,2,RMcesa ,1468,2,1,140,Sasson Road
Plot  Area,1,4,RMaanSa,4300,5,2,550,Satara Road
Super built-up  Area,0,3,Prtates,2280,4,2,126,Senapati Bapat Road
Super built-up  Area,1,2,Soiniy ,1341,2,1,97,Shaniwar Peth
Super built-up  Area,1,2,0,1279,2,1,77,Shivaji Nagar
Super built-up  Area,0,4,SNbay G,2225,4,0,98.88,Shukrawar Peth
Super built-up  Area,1,2,MenueNo,1185,2,2,43.51,Sinhagad Road
Super built-up  Area,1,3,VMianri,1750,3,2,85,Somwar Peth
Super built-up  Area,1,2,GKityel,1152,2,1,53.5,Swargate
Super built-up  Area,1,2,Jaise P,1300,2,3,36,Uruli Devachi
Plot  Area,0,4,0,2760,4,2,155,Vadgaon Budruk
Super built-up  Area,0,2,0,1070,2,2,39,Wadgaon Sheri
Super built-up  Area,1,2,Siayayo,1101,2,0,45,Viman Nagar
Super built-up  Area,1,2,0,775,2,1,55,Vishrant Wadi
Super built-up  Area,1,1,IBityin,667,1,1,36.85,Wagholi
Super built-up  Area,1,2,GMown E,1070,2,1,55,Wakadewadi
Built-up  Area,1,3,Trnce A,1875,2,2,110,Wanowrie
Super built-up  Area,1,2,Dieldli,735,2,1,57.99,Warje
Plot  Area,1,5,0,4360,4,1,90,Yerawada
Super built-up  Area,1,3,0,1750,3,2,130,Alandi Road
Super built-up  Area,1,2,PuilaMi,1215,2,1,67,Ambegaon Budruk
Super built-up  Area,1,2,Prodsth,820,2,1,30,Aundh
Super built-up  Area,1,3,PaontWa,1779,3,2,89.61,Balaji Nagar
Built-up  Area,1,2,HMRWAyo,1105,2,2,58,Baner
Super built-up  Area,1,3,UKkente,1650,3,2,60,Bhandarkar Road
Super built-up  Area,1,2,Tahtsla,1694,2,2,150,Bhavani Peth
Super built-up  Area,1,3,Taonte ,2376,3,1,203,Bibvewadi
Super built-up  Area,1,3,0,1975,3,3,150,Bopodi
Super built-up  Area,1,2,Icingpy,674,2,1,33,Budhwar Peth
Super built-up  Area,1,2,SLireap,1185,2,1,41,Bund Garden Road
Super built-up  Area,1,3,0,1475,3,2,75,Dapodi
Super built-up  Area,1,3,Sklls C,1618,3,3,82.5,Deccan Gymkhana
Super built-up  Area,1,2,Vaanda ,1120,2,0,65,Dehu Road
Super built-up  Area,1,4,Sutte C,2181,3,2,152,Dhankawadi
Super built-up  Area,0,3,DSnjh S,1556,2,1,59.13,Erandwane
Super built-up  Area,0,2,Hiatei ,1179,2,1,66.02,Fatima Nagar
Super built-up  Area,1,2,Bhmesy ,1296,2,2,83,Fergusson College Road
Built-up  Area,1,2,VSomepi,1275,2,2,52,Ganesh Peth
Super built-up  Area,1,3,0,1400,2,2,77,Ghorpade Peth
Super built-up  Area,1,2,Krryll ,1222,2,1,63,Ghorpadi
Super built-up  Area,1,2,Palleon,940,2,1,41,Gokhale Nagar
Super built-up  Area,1,2,MenueNo,1185,2,2,42.6,Gultekdi
Super built-up  Area,1,3,Soite E,1779,3,2,112,Guruwar peth
Super built-up  Area,1,3,Dhalsh ,1615,3,2,59.76,Hadapsar
Super built-up  Area,1,2,Zostaa ,1056,2,1,61,Hingne Khurd
Super built-up  Area,1,2,0,1100,2,0,46,Jangali Maharaj Road
Built-up  Area,1,2,Prdowth,920,2,1,40,Kalyani Nagar
Super built-up  Area,1,3,BMityre,1602,2,0,75,Karve Nagar
Built-up  Area,1,2,0,1176,2,0,62,Karve Road
Super built-up  Area,1,3,0,1352,3,0,135,Katraj
Built-up  Area,1,3,HMonymp,1717,3,3,99,Khadaki
Super built-up  Area,0,4,Rosha I,2119,4,3,111,Kharadi
Super built-up  Area,1,2,Prlla C,1246,2,1,67.3,Kondhwa
Super built-up  Area,0,2,ViensRK,1141,2,1,42.79,Kondhwa Budruk
Built-up  Area,1,2,0,1157,2,1,84,Kondhwa Khurd
Super built-up  Area,0,2,SuVue S,1025,2,2,27.68,Koregaon Park
Built-up  Area,1,1,KHatsFl,650,1,2,33,Kothrud
Super built-up  Area,1,2,Prersis,1349,2,1,98,Law College Road
Super built-up  Area,1,3,Veodsar,1566,3,1,83.3,Laxmi Road
Super built-up  Area,1,4,OsrdsOr,2830,3,3,195,Lulla Nagar
Built-up  Area,0,3,0,1320,2,1,38.13,Mahatma Gandhi Road
Super built-up  Area,0,3,0,1780,3,1,84.83,Mangalwar peth
Super built-up  Area,1,2,Hirio L,1091,2,1,34.9,Manik Bagh
Super built-up  Area,1,4,Leino C,3670,4,3,300,Market yard
Built-up  Area,1,2,0,918,2,1,50.49,Model colony
Super built-up  Area,0,4,Detat H,1950,4,0,130,Mukund Nagar
Super built-up  Area,1,3,0,1695,3,1,90,Mundhawa
Super built-up  Area,1,3,Shana S,1705,3,2,95,Nagar Road
Built-up  Area,1,3,Disical,1375,3,2,75,Nana Peth
Super built-up  Area,0,1,PrarePa,525,1,1,30,Narayan Peth
Built-up  Area,0,2,0,1447,2,1,83,Narayangaon
Super built-up  Area,1,2,SLaceda,1114,2,1,39,Navi Peth
Super built-up  Area,1,3,Brsiaen,1450,2,1,100,Padmavati
Built-up  Area,1,2,0,1022,2,2,40,Pashan
Built-up  Area,1,2,Ratlet ,1000,2,2,45,Paud Road
Super built-up  Area,0,2,Prarkun,1128,2,1,68.75,Pirangut
Super built-up  Area,0,2,Wiowsri,1180,2,2,57,Prabhat Road
Plot  Area,1,2,0,1200,2,1,150,Rasta Peth
Super built-up  Area,1,3,0,3761,3,2,660,Raviwar Peth
Super built-up  Area,1,2,PuandHi,1339,2,3,75,Sadashiv Peth
Super built-up  Area,1,3,0,1400,2,3,55,Sahakar Nagar
Super built-up  Area,1,2,SrncyRe,1040,2,1,39.52,Salunke Vihar
Super built-up  Area,1,2,0,1198,2,2,58,Sasson Road
Super built-up  Area,1,3,Klark L,1691,3,2,113,Senapati Bapat Road
Super built-up  Area,1,3,Prityel,1075,3,2,36,Shaniwar Peth
Super built-up  Area,0,3,0,1630,3,2,194,Shivaji Nagar
Super built-up  Area,0,3,0,1240,3,2,43.5,Shukrawar Peth
Super built-up  Area,1,3,Puestig,1665,3,2,86.58,Somwar Peth
Built-up  Area,1,3,Bintsee,2489,3,0,94,Swargate
Built-up  Area,1,2,Mapleer,1142,2,2,70,Tilak Road
Super built-up  Area,1,3,Diacee ,1976,3,1,184,Uruli Devachi
Super built-up  Area,1,3,0,1853,3,2,82,Wadgaon Sheri
Super built-up  Area,1,2,0,1567,2,2,92,Vishrant Wadi
Super built-up  Area,1,2,0,1090,2,1,27.24,Wagholi
Plot  Area,1,4,0,2400,4,1,640,Wanowrie
Super built-up  Area,1,2,Shitt S,1175,2,2,51.47,Warje
Built-up  Area,1,2,DSagax ,1200,2,2,52,Yerawada
Built-up  Area,1,2,Prs 2hi,995,2,1,41,Alandi Road
Super built-up  Area,1,2,Vrenty ,884,2,1,41.1,Ambegaon Budruk
Built-up  Area,1,2,IBityin,1170,2,2,57,Aundh
Super built-up  Area,1,2,LVniaar,1225,2,1,46.55,Aundh Road
Super built-up  Area,0,2,Prarkun,1342,2,1,73.3,Balaji Nagar
Built-up  Area,0,2,0,1345,2,1,67,Baner
Built-up  Area,1,3,Shyas S,1320,3,0,65,Baner road
Super built-up  Area,1,2,GrrvaGr,1140,2,1,49.39,Bhavani Peth
Super built-up  Area,1,2,Sancy L,1300,2,1,50,Bibvewadi
Super built-up  Area,1,3,0,1652,3,2,85,Bopodi
Super built-up  Area,1,3,Prtanha,2072,4,2,142,Budhwar Peth
Built-up  Area,1,3,0,1740,2,0,95,Bund Garden Road
Super built-up  Area,1,3,GMown E,1360,2,1,71,Camp
Super built-up  Area,1,3,Sueneu ,1145,2,2,60,Chandan Nagar
Built-up  Area,1,3,Laihai ,1540,2,0,40,Dapodi
Super built-up  Area,1,2,Adeatlm,1278,2,2,95,Deccan Gymkhana
Super built-up  Area,0,1,SNbay G,630,1,1,40,Dehu Road
Super built-up  Area,0,3,PrarePa,1100,3,2,58,Dhankawadi
Plot  Area,1,3,Brersld,1200,3,0,95,Dhayari Phata
Super built-up  Area,0,2,SunceEs,1015,2,2,25.88,Fatima Nagar
Built-up  Area,1,5,0,3300,5,2,240,Fergusson College Road
Plot  Area,1,5,0,4500,5,1,415,Ganesh Peth
Super built-up  Area,1,3,0,1356,2,3,66,Ganeshkhind
Super built-up  Area,1,2,0,823,2,1,28,Ghorpade Peth
Plot  Area,1,3,0,1200,2,0,66,Ghorpadi
Built-up  Area,1,2,0,1050,2,0,37,Gokhale Nagar
Super built-up  Area,1,2,Leton A,1180,2,1,69,Gultekdi
Super built-up  Area,1,2,Sonviik,1116,2,3,51.91,Guruwar peth
Super built-up  Area,1,2,SrncyRe,1070,2,1,42.79,Hadapsar
Super built-up  Area,0,2,Uptusol,1385,2,3,80,Hadapsar Industrial Estate
Plot  Area,1,1,0,1000,1,1,70,Hingne Khurd
Built-up  Area,0,3,0,1897,3,2,130,Jangali Maharaj Road
Super built-up  Area,0,2,Vrenty ,1005,2,1,55.78,Kalyani Nagar
Super built-up  Area,1,3,Soinequ,1575,3,2,125,Karve Nagar
Super built-up  Area,1,2,Mayne A,975,2,1,65,Karve Road
Super built-up  Area,1,3,SaireSa,1904,3,2,120,Kasba Peth
Super built-up  Area,1,1,0,930,1,1,30,Katraj
Super built-up  Area,0,1,PrarePa,525,1,1,26,Khadaki
Super built-up  Area,1,1,0,686,1,1,17,Khadki
Plot  Area,1,2,Daosts ,2400,3,1,150,Kharadi
Plot  Area,1,2,0,1410,1,0,233,Kondhwa
Built-up  Area,0,3,0,2238,3,1,140,Kondhwa Budruk
Super built-up  Area,1,2,Prncyrn,1174,2,1,69,Kondhwa Khurd
Built-up  Area,1,4,0,3800,4,3,239,Koregaon Park
